id,tweetID,coordinates,hashtags
53683611,9.41E+17,,nigiotti
8.01E+17,9.41E+17,,Lugo
8.01E+17,9.41E+17,,Lugo
2767256731,9.41E+17,,JensenAckles
8.01E+17,9.41E+17,,Lugo
8.01E+17,9.41E+17,,Lugo
8.01E+17,9.41E+17,,Lugo
420254187,9.41E+17,,Amazon
25699306,9.41E+17,,Maneskin
406460133,9.41E+17,,Florence
22603117,9.41E+17,"11.34319,44.49416",dreamteam
244659246,9.41E+17,,Maneskin
508403284,9.41E+17,,XF11
2921447206,9.41E+17,,BandaEtruria
2921447206,9.41E+17,,BandaEtruria
25699306,9.41E+17,,nigiotti
15265992,9.41E+17,,morte
2921447206,9.41E+17,,BandaEtruria
1611408764,9.41E+17,,XF11
2921447206,9.41E+17,,BandaEtruria
2921447206,9.41E+17,,BandaEtruria
2921447206,9.41E+17,,BandaEtruria
2651274657,9.41E+17,,avanti
2921447206,9.41E+17,,BandaEtruria
2921447206,9.41E+17,,BandaEtruria
2921447206,9.41E+17,,BandaEtruria
2921447206,9.41E+17,,BandaEtruria
508403284,9.41E+17,,XF11
2605583645,9.41E+17,,xf11
554969480,9.41E+17,,XF11
14828588,9.41E+17,,Cybersecurity
53683611,9.41E+17,,XF11
8.85E+17,9.41E+17,,XF11
453269927,9.41E+17,,XFactorFinal
1316910824,9.41E+17,,xf11
396104852,9.41E+17,,kudos
453269927,9.41E+17,,XF11
19978260,9.41E+17,"11,44.75",italy
140766329,9.41E+17,"11.33447587,44.49550741",acoustic
244659246,9.41E+17,,XF11
383820352,9.41E+17,,XF11
244659246,9.41E+17,,XF11
312268632,9.41E+17,,xf11
852324414,9.41E+17,,Maneskin
554969480,9.41E+17,,iovotomaneskin
220704361,9.41E+17,,XF11NowTv
9.07E+17,9.41E+17,,imout
2921447206,9.42E+17,,BancaEtruria
4096050322,9.42E+17,,Italy
471122781,9.42E+17,"11.7158,44.35182",mango
471122781,9.42E+17,"11.7158,44.35182",cesteria
61751856,9.42E+17,,Puigdemont
275924379,9.42E+17,"11.34275,44.49611",hotelmajestic
532545883,9.42E+17,,cittadinanza
190032312,9.42E+17,,design
1006226514,9.42E+17,,startup
311767610,9.42E+17,,snowday2017
12353582,9.42E+17,,domenica
478885546,9.42E+17,"11.30608,44.49137",charleston
1504722836,9.42E+17,"10.8833,44.7833",longhair
582654706,9.42E+17,,pranzodiNatale
233860128,9.42E+17,"10.9245052,44.6264612",endorphins
32891973,9.42E+17,"10.78292395,44.54107405",sassuolo
4877115563,9.42E+17,,amalficoast
9.15E+17,9.42E+17,,stopfoodshaming
852324414,9.42E+17,,Gomorra3
7.36E+17,9.42E+17,"11.05609,44.59157",armatabiancoverde
467543553,9.42E+17,,uomini
163201606,9.42E+17,,Windsor
