id,tweetID,coordinates,hashtags
3248555283,9.41E+17,"4.85671,52.35789",iamsterdam
1475553271,9.41E+17,,fotograaf
1051368985,9.41E+17,,Arsenal
38816493,9.41E+17,,gekregen
126629931,9.41E+17,,deveerkampjes
50390942,9.41E+17,,abstractart
38816493,9.41E+17,,pt
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
284041376,9.41E+17,"4.87992024,52.3705456",CaTvent
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
234731469,9.41E+17,,obligatory
396016627,9.41E+17,,drek
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
1166383453,9.41E+17,"4.8932,52.3731",lerarenagenda
1166383453,9.41E+17,"4.8932,52.3731",IOB40
32707741,9.41E+17,"4.8951679,52.3702157",Amsterdam
1166383453,9.41E+17,"4.8932,52.3731",IOB40
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
39209659,9.41E+17,,Haiku
1166383453,9.41E+17,"4.8932,52.3731",lerarenagenda
3598644755,9.41E+17,"4.89414,52.37736",Amsterdam
278708054,9.41E+17,"4.90027761,52.37888718",ICDirect
278708054,9.41E+17,"4.90027761,52.37888718",ICDirect
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
1022079662,9.41E+17,,maan
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
339493589,9.41E+17,"4.8922,52.3731",rawdenim
216417949,9.41E+17,"4.8922,52.3731",Amsterdam
216417949,9.41E+17,"4.8922,52.3731",Amsterdam
317043944,9.41E+17,"4.85641,52.36436",BohoHome
134879679,9.41E+17,"4.86667,52.3",foodtruck
1166383453,9.41E+17,"4.8932,52.3731",trndnl
6865052,9.41E+17,"4.8922,52.3731",bnwstreet
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
1166383453,9.41E+17,"4.8932,52.3731",trndnl
191056056,9.41E+17,,Remain
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
256147271,9.41E+17,,frozennumbfingershandandfoot
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
304700476,9.41E+17,,100Pints
463106729,9.41E+17,"4.8789724,52.3666396",meggings
168489388,9.41E+17,"4.88969,52.37403",Systeem
410752389,9.41E+17,,blockchain
38176898,9.41E+17,"4.8775152,52.3494603",job
32282093,9.41E+17,"4.8951679,52.3702157",job
1166383453,9.41E+17,"4.8932,52.3731",mmvcongres
143754469,9.41E+17,"4.92268,52.36277",tbtjul2017
50300051,9.41E+17,"4.8951679,52.3702157",hiring
1166383453,9.41E+17,"4.8932,52.3731",marijnissen
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",Voetbaltwitteraar2017
2158562332,9.41E+17,"4.8875,52.37017",beyourself
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
44695518,9.41E+17,"4.8922,52.3731",kaart
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",trndnl
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
121493492,9.41E+17,,LordHatti
278708054,9.41E+17,"4.90027761,52.37888718",ICDirect
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
1166383453,9.41E+17,"4.8932,52.3731",AOwegverkeer
19140633,9.41E+17,"4.825285,52.440375",ZAANDAM
972064627,9.41E+17,,TheLastJedi
34222257,9.41E+17,,Resilience
1166383453,9.41E+17,"4.8932,52.3731",AOwegverkeer
278708054,9.41E+17,"4.90027761,52.37888718",ICDirect
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
2969850413,9.41E+17,"4.9075697,52.3870136",luckybastards
86946703,9.41E+17,"4.76393985,52.30908793",Amsterdam
19140633,9.41E+17,"4.856013,52.43549",ZAANDAM
41174230,9.41E+17,"5.21186256,52.36730101",echnatonfm
219632154,9.41E+17,,KerstCadeau
7.04E+17,9.41E+17,"4.72674,52.28841",A4
191056056,9.41E+17,,secular
21233721,9.41E+17,,zucht
16005365,9.41E+17,"4.89287619,52.37305134",tbt
22033661,9.41E+17,,bestof2017
224671737,9.41E+17,"4.8561091,52.4355494",alarm
224671737,9.41E+17,"4.8243943,52.4400702",alarm
559698723,9.41E+17,,Amsterdam
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
88039815,9.41E+17,,sp
19159664,9.41E+17,,BWcocreation
239106142,9.41E+17,,WatKinderachtigGodverdomme
9.04E+17,9.41E+17,"4.8292805,52.3430396",2sqrs
452772201,9.41E+17,"4.8735,52.3592",amsterdam
191056056,9.41E+17,,PR
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
7.04E+17,9.41E+17,"4.93402,52.37241",S114
220009145,9.41E+17,"4.76393985,52.30908793",Amsterdam
11123932,9.41E+17,"4.9029677,52.3774647",dinamicamsterdam2017
61511669,9.41E+17,,groenlicht
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
315908130,9.41E+17,,kerstmishetniet
891137856,9.41E+17,"4.8922,52.3731",elioheres
315908130,9.41E+17,,kerstmishetniet
244739459,9.41E+17,"4.9029677,52.3774647",Amsterdam
289313971,9.41E+17,,stedenbouw
726869828,9.41E+17,"4.88132,52.35793",amsterdam
4567387397,9.41E+17,"4.9,52.36667",Amsterdam
28426214,9.41E+17,,USX17
259986703,9.41E+17,,topper
1166383453,9.41E+17,"4.8932,52.3731",trndnl
259986703,9.41E+17,,topper
3393750909,9.41E+17,"4.8922,52.3731",amsterdamlightfestival
117426536,9.41E+17,,fdgazellen
278708054,9.41E+17,"4.76194429,52.30944443",ICDirect
839785110,9.41E+17,,netneutrality
7.04E+17,9.41E+17,"4.73496,52.29408",A4
10378002,9.41E+17,,IGF2017
224671737,9.41E+17,"4.7935005,52.4899826",alarm
224671737,9.41E+17,"4.8529007,52.2882939",alarm
927127309,9.41E+17,,TicketSwap
1166383453,9.41E+17,"4.8932,52.3731",dividendbelasting
839785110,9.41E+17,,NetNeutrality
141955973,9.41E+17,"4.85983,52.33462",atwork
20766578,9.41E+17,,PartnersAtWork
28426214,9.41E+17,,USX17
3375579785,9.41E+17,"4.577366,52.27364",brugopen
22651549,9.41E+17,,lvgv
251169099,9.41E+17,"4.86795,52.3704605",christmas
1566609163,9.41E+17,"4.93417324,52.36370686",wijgaansluiten
